,Category,Message,Length
0,0,go jurong point crazi avail bugi n great world la e buffet cine got amor wat,111
1,0,ok lar joke wif u oni,29
2,1,free entri wkli comp win fa cup final tkt st may text fa receiv entri question std txt rate c appli,155
3,0,u dun say earli hor u c alreadi say,49
4,0,nah think goe usf live around though,61
5,1,freemsg hey darl week word back like fun still tb ok xxx std chg send rcv,147
6,0,even brother like speak treat like aid patent,77
7,0,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun,160
8,1,winner valu network custom select receivea prize reward claim call claim code kl valid hour,157
9,1,mobil month u r entitl updat latest colour mobil camera free call mobil updat co free,154
10,0,gonna home soon want talk stuff anymor tonight k cri enough today,109
11,1,six chanc win cash pound txt csh send cost p day day tsandc appli repli hl info,136
12,1,urgent week free membership prize jackpot txt word claim c www dbuk net lccltd pobox ldnw rw,155
13,0,search right word thank breather promis wont take help grant fulfil promis wonder bless time,196
14,0,date sunday,35
15,1,xxxmobilemovieclub use credit click wap link next txt messag click http wap xxxmobilemovieclub com n qjkgighjjgcbl,149
16,0,oh k watch,26
17,0,eh u rememb spell name ye v naughti make v wet,81
18,0,fine way u feel way gota b,56
19,1,england v macedonia dont miss goal team news txt ur nation team eg england tri wale scotland txt poboxox w wq,155
20,0,serious spell name,41
21,0,go tri month ha ha joke,47
22,0,pay first lar da stock comin,52
23,0,aft finish lunch go str lor ard smth lor u finish ur lunch alreadi,88
24,0,ffffffffff alright way meet sooner,57
25,0,forc eat slice realli hungri tho suck mark get worri know sick turn pizza lol,144
26,0,lol alway convinc,30
27,0,catch bu fri egg make tea eat mom left dinner feel love,134
28,0,back amp pack car let know room,75
29,0,ahhh work vagu rememb feel like lol,64
30,0,wait still clear sure sarcast x want live us,130
31,0,yeah got v apologet n fallen actin like spoilt child got caught till go badli cheer,188
32,0,k tell anyth,29
33,0,fear faint housework quick cuppa,84
34,1,thank subscript rington uk mobil charg month pleas confirm repli ye repli charg,158
35,0,yup ok go home look time msg xuhui go learn nd may lesson,122
36,0,oop let know roommat done,47
37,0,see letter b car,28
38,0,anyth lor u decid,27
39,0,hello saturday go text see decid anyth tomo tri invit anyth,155
40,0,pl go ahead watt want sure great weekend abiola,82
41,0,forget tell want need crave love sweet arabian steed mmmmmm yummi,142
42,1,rodger burn msg tri call repli sm free nokia mobil free camcord pleas call deliveri tomorrow,172
43,0,see,19
44,0,great hope like man well endow lt gt inch,72
45,0,call messag miss call,32
46,0,get hep b immunis nigeria,45
47,0,fair enough anyth go,31
48,0,yeah hope tyler could mayb ask around bit,67
49,0,u know stubborn even want go hospit kept tell mark weak sucker hospit weak sucker,148
50,0,think first time saw class,58
51,0,gram usual run like lt gt half eighth smarter though get almost whole second gram lt gt,124
52,0,k fyi x ride earli tomorrow morn crash place tonight,80
53,0,wow never realiz embarass accomod thought like sinc best could alway seem happi cave sorri give sorri offer sorri room embarass,289
54,1,sm ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv,120
55,0,know mallika sherawat yesterday find lt url gt,76
56,1,congrat year special cinema pass call c suprman v matrix starwar etc free bx ip pm dont miss,160
57,0,sorri call later meet,34
58,0,tell reach,22
59,0,ye gauti sehwag odi seri,40
60,0,gonna pick burger way home even move pain kill,108
61,0,ha ha ha good joke girl situat seeker,48
62,0,part check iq,25
63,0,sorri roommat took forev ok come,56
64,0,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice,110
65,1,valu custom pleas advis follow recent review mob award bonu prize call,152
66,0,today song dedic day song u dedic send ur valuabl frnd first rpli,122
67,1,urgent ur award complimentari trip eurodisinc trav aco entri claim txt di morefrmmob shracomorsglsuplt ls aj,159
68,1,hear new divorc barbi come ken stuff,78
69,0,plane give month end,34
70,0,wah lucki man save money hee,46
71,0,finish class,29
72,0,hi babe im home wanna someth xx,45
73,0,k k perform,42
74,0,u call,20
75,0,wait machan call free,43
76,0,that cool gentleman treat digniti respect,73
77,0,like peopl much shi pa,50
78,0,oper lt gt,42
79,0,still look job much ta earn,76
80,0,sorri call later,22
81,0,k call ah,31
82,0,ok way home hi hi,32
83,0,place man,36
84,0,yup next stop,14
85,0,call later network urgnt sm,55
86,0,real u get yo need ticket one jacket done alreadi use multi,121
87,0,ye start send request make pain came back back bed doubl coin factori gotta cash nitro,144
